,Date,Total Portfolio Value
0,2000-07-31,100.50586372889967
1,2000-08-01,100.91038769069019
2,2000-08-02,100.9958392644715
3,2000-08-03,101.67643099834524
4,2000-08-04,102.26187455458327
5,2000-08-07,102.9458222747616
6,2000-08-08,103.19857807524052
7,2000-08-09,102.7993893990498
8,2000-08-10,102.35764936048596
9,2000-08-11,102.76198491965837
10,2000-08-14,103.68373391948472
11,2000-08-15,103.32896592077103
12,2000-08-16,103.09072221626064
13,2000-08-17,103.83409907703924
14,2000-08-18,103.70746954898726
15,2000-08-21,104.03584283915382
16,2000-08-22,104.00945639953707
17,2000-08-23,104.47862594475592
18,2000-08-24,104.620021461524
19,2000-08-25,104.53743718617287
20,2000-08-28,104.80285663408736
21,2000-08-29,104.54489685892426
22,2000-08-30,104.25789307505657
23,2000-08-31,105.08715868546196
24,2000-09-01,105.33621694595627
25,2000-09-04,105.33621694595627
26,2000-09-05,104.80522802480053
27,2000-09-06,104.08475449742502
28,2000-09-07,104.46546466366978
29,2000-09-08,104.16671040999609
30,2000-09-11,103.89668655916137
31,2000-09-12,103.57897883734694
32,2000-09-13,103.83222596593208
33,2000-09-14,103.55832167288939
34,2000-09-15,102.86381755644402
35,2000-09-18,101.94446209147117
36,2000-09-19,102.62854068699835
37,2000-09-20,102.1961676666641
38,2000-09-21,102.1778180994757
39,2000-09-22,102.23927928578559
40,2000-09-25,101.85759595219992
41,2000-09-26,101.4383650546969
42,2000-09-27,101.38826500388589
43,2000-09-28,102.79057954039172
44,2000-09-29,101.92838781107575
45,2000-10-02,101.88834998073622
46,2000-10-03,101.4090723793843
47,2000-10-04,101.70753945706139
48,2000-10-05,101.86807329089308
49,2000-10-06,100.74710822581984
50,2000-10-09,100.44608698442607
51,2000-10-10,99.8398648039143
52,2000-10-11,98.90941820527149
53,2000-10-12,97.51003641687338
54,2000-10-13,99.42508462489398
55,2000-10-16,99.42271618711914
56,2000-10-17,98.49043096506298
57,2000-10-18,98.14934147307684
